DBN,School Name,School Pupil-Teacher Ratio
12X047,P.S. 047 JOHN RANDOLPH,15.4
10X046,P.S. 046 EDGAR ALLAN POE,13.4
12X044,P.S. 044 DAVID C. FARRAGUT,10.8
07X043,P.S. 043 JONAS BRONCK,13.8
09X042,P.S. 042 CLAREMONT,12
11X041,P.S. 041 GUN HILL ROAD,16
08X036,P.S. 036 UNIONPORT,13.6
09X035,P.S. 035 FRANZ SIEGEL,14.4
10X033,P.S. 033 TIMOTHY DWIGHT,15
10X032,P.S. 032 BELMONT,12.9
07X030,P.S. 030 WILTON,14.4
09X028,P.S. 028 MOUNT HOPE,14.7
07X025,P.S. 025 BILINGUAL SCHOOL,11.6
10X024,P.S. 024 SPUYTEN DUYVIL,16.8
10X023,P.S. 023 THE NEW CHILDREN'S SCHOOL,12.3
11X021,P.S. 021 PHILIP H. SHERIDAN,16.9
07X018,P.S. 018 JOHN PETER ZENGER,13
11X016,P.S. 016 WAKEFIELD,13.2
08X014,P.S. X014 SENATOR JOHN CALANDRA,14.4
09X011,P.S. 011 HIGHBRIDGE,13.1
10X009,P.S. 9 RYER AVENUE ELEMENTARY SCHOOL,14.5
10X008,P.S. 008 ISSAC VARIAN,13.5
10X007,MILTON FEIN SCHOOL,16.3
12X006,P.S. 006 WEST FARMS,13.5
09X004,P.S./M.S. 004 CROTONA PARK WEST,13.2
07X001,P.S. 001 COURTLANDT SCHOOL,13.3
31R078,PS 78,13.4
31R074,P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,11.9
31R069,P.S. 069 DANIEL D. TOMPKINS,10.4
31R065,P.S. 65 THE ACADEMY OF INNOVATIVE LEARNING,14.5
31R062,P.S. 62,11.2
31R060,P.S. 060 ALICE AUSTEN,15.4
31R059,THE HARBOR VIEW SCHOOL,12.7
31R058,SPACE SHUTTLE COLUMBIA SCHOOL,16.1
31R057,P.S. 057 HUBERT H. HUMPHREY,15.1
31R056,P.S. 56 THE LOUIS DESARIO SCHOOL,14.2
31R055,P.S. 055 HENRY M. BOEHM,15.7
31R054,P.S. 054 CHARLES W. LENG,15.6
31R053,P.S. 053 BAY TERRACE,16.6
31R052,P.S. 052 JOHN C. THOMPSON,14.1
31R050,P.S. 050 FRANK HANKINSON,16.7
31R046,P.S. 046 ALBERT V. MANISCALCO,11.8
31R045,P.S. 045 JOHN TYLER,16.6
31R044,P.S. 044 THOMAS C. BROWN,14.7
31R042,P.S. 042 ELTINGVILLE,18.3
31R041,P.S. 041 NEW DORP,15.8
31R039,P.S. 39 FRANCIS J. MURPHY JR.,16.9
31R038,P.S. 038 GEORGE CROMWELL,13.6
31R036,P.S. 036 J. C. DRUMGOOLE,17.2
31R035,P.S. 35 THE CLOVE VALLEY SCHOOL,16.3
31R032,P.S. 032 THE GIFFORD SCHOOL,18.2
31R031,P.S. 031 WILLIAM T. DAVIS,14
31R030,P.S. 030 WESTERLEIGH,14.9
31R029,P.S. 029 BARDWELL,18.4
31R028,THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND,11.9
31R026,P.S. 026 THE CARTERET SCHOOL,12.8
31R023,P.S. 023 RICHMONDTOWN,13.7
31R022,P.S. 022 GRANITEVILLE,18
31R021,P.S. 21 MARGARET EMERY-ELM PARK,13
31R020,P.S. 020 PORT RICHMOND,12.6
31R019,P.S. 019 THE CURTIS SCHOOL,17.2
31R018,P.S. 018 JOHN G. WHITTIER,12.6
31R016,P.S. 016 JOHN J. DRISCOLL,13.2
31R013,P.S. 013 M. L. LINDEMEYER,15
31R011,P.S. 11 THOMAS DONGAN SCHOOL,12.9
31R010,FORT HILL COLLABORATIVE ELEMENTARY SCHOOL,10.6
31R009,NAPLES STREET ELEMENTARY SCHOOL,11.1
31R008,P.S. 8 SHIRLEE SOLOMON,16.2
31R006,P.S. 6 CORPORAL ALLAN F. KIVLEHAN SCHOOL,14.7
31R005,P.S. 005 HUGUENOT,12.3
31R004,P.S. 004 MAURICE WOLLIN,9.5
31R003,P.S. 003 THE MARGARET GIOIOSA SCHOOL,16.8
31R001,P.S. 001 TOTTENVILLE,13.1
24Q877,THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE),15.2
27Q362,WAVE PREPARATORY ELEMENTARY SCHOOL,13.9
30Q361,P.S. 361,12.6
29Q360,P.S. 360,13.3
28Q354,PS 354,15
28Q349,P.S. 349,11.7
24Q343,THE CHILDREN'S LAB SCHOOL,13.1
24Q330,P.S. 330,13.6
30Q329,EAST ELMHURST COMMUNITY SCHOOL,17.6
27Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,14.4
27Q316,QUEENS EXPLORERS ELEMENTARY SCHOOL,13.3
28Q312,JAMAICA CHILDREN'S SCHOOL,10
24Q307,PIONEER ACADEMY,13.3
27Q306,NEW YORK CITY ACADEMY FOR DISCOVERY,13.3
24Q305,LEARNERS AND LEADERS,14
28Q303,THE ACADEMY FOR EXCELLENCE THROUGH THE ARTS,16.9
24Q290,A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS,15.6
30Q280,P.S. 280,16.8
27Q273,P.S. 273,13.6
27Q254,P.S. 254 - THE ROSA PARKS SCHOOL,16.3
27Q253,P.S. 253,13.9
29Q251,P.S. 251 QUEENS,13.8
25Q244,THE ACTIVE LEARNING ELEMENTARY SCHOOL,16.3
25Q242,P.S. 242 LEONARD P. STAVISKY EARLY CHILDHOOD SCHOOL,11.7
24Q239,P.S. 239,13.9
30Q234,P.S. 234,16.4
24Q229,P.S. 229 EMANUEL KAPLAN,17.9
30Q228,P.S. 228 EARLY CHILDHOOD MAGNET SCHOOL OF THE ARTS,13.2
27Q223,P.S. 223 LYNDON B. JOHNSON,15.5
30Q222,P.S. Q222 - FIRE FIGHTER CHRISTOPHER A. SANTORA SCHOOL,14.8
26Q221,P.S. 221 THE NORTH HILLS SCHOOL,17
28Q220,P.S. 220 EDWARD MANDEL,15.6
25Q214,P.S. 214 CADWALLADER COLDEN,15.6
26Q213,P.S. 213 THE CARL ULLMAN SCHOOL,16
30Q212,P.S. 212,15.9
24Q211,ELM TREE ELEMENTARY SCHOOL,11.8
25Q209,P.S. 209 CLEARVIEW GARDENS,16.7
28Q206,P.S. 206 THE HORACE HARDING SCHOOL,14.3
26Q205,P.S. 205 ALEXANDER GRAHAM BELL,15.4
26Q203,P.S. 203 OAKLAND GARDENS,19.7
25Q201,P.S. 201 THE DISCOVERY SCHOOL FOR INQUIRY AND RESEARCH,11.5
24Q199,P.S. 199 MAURICE A. FITZGERALD,16.1
27Q197,P.S. 197 THE OCEAN SCHOOL,13.4
28Q196,P.S. 196 GRAND CENTRAL PARKWAY,18.4
29Q195,P.S. 195 WILLIAM HABERLE,16.2
25Q193,P.S. 193 ALFRED J. KENNEDY,16.5
26Q191,P.S. 191 MAYFLOWER,17.3
26Q188,P.S. 188 KINGSBURY,19.2
26Q186,P.S. 186 CASTLEWOOD,6.7
25Q184,P.S. 184 FLUSHING MANOR,18.2
28Q182,P.S. 182 SAMANTHA SMITH,14.8
29Q181,P.S. 181 BROOKFIELD,15
29Q176,P.S. 176 CAMBRIA HEIGHTS,19.1
28Q175,P.S. 175 THE LYNN GROSS DISCOVERY SCHOOL,20.2
28Q174,P.S. 174 WILLIAM SIDNEY MOUNT,17
26Q173,P.S. 173 FRESH MEADOWS,17
30Q171,P.S. 171 PETER G. VAN ALST,14.1
25Q169,P.S. 169 BAY TERRACE,14.9
30Q166,P.S. 166 HENRY GRADSTEIN,17.4
25Q165,P.S. 165 EDITH K. BERGTRAUM,9.3
25Q163,P.S. 163 FLUSHING HEIGHTS,16.2
26Q162,P.S. 162 JOHN GOLDEN,17.5
28Q161,P.S. 161 ARTHUR ASHE SCHOOL,15
28Q160,P.S. 160 WALTER FRANCIS BISHOP,15.3
26Q159,P.S. 159,18
29Q156,P.S. 156 LAURELTON,11.5
27Q155,P.S. 155,17.2
25Q154,P.S. 154 QUEENS,16.6
24Q153,P.S. 153 MASPETH ELEM,16.3
30Q152,P.S. 152 GWENDOLINE N. ALLEYNE SCHOOL,16.2
30Q151,P.S. 151 MARY D. CARTER,12.3
30Q150,P.S. 150 QUEENS,18
30Q149,P.S. 149 CHRISTA MCAULIFFE,14.7
30Q148,P.S. 148 QUEENS,16.7
28Q144,P.S. 144 COL JEROMUS REMSEN,16.6
24Q143,P.S. 143 LOUIS ARMSTRONG,15.1
28Q140,P.S. 140 EDWARD K ELLINGTON,17.1
28Q139,P.S. 139 REGO PARK,17.6
29Q136,P.S. 136 ROY WILKINS,17.2
29Q135,THE BELLAIRE SCHOOL,16.7
29Q134,P.S. 134 HOLLIS,13
26Q133,P.S. 133 QUEENS,15.5
29Q132,P.S. 132 RALPH BUNCHE,14.5
29Q131,P.S. 131 ABIGAIL ADAMS,17.8
25Q130,P.S. 130,14.4
25Q129,P.S. 129 PATRICIA LARKIN,15.1
27Q123,P.S. 123,16
28Q121,P.S. 121 QUEENS,17.4
25Q120,P.S. 120 QUEENS,18.2
29Q118,P.S. 118 LORRAINE HANSBERRY,16.3
28Q117,P.S. 117 J. KELD / BRIARWOOD SCHOOL,16.7
26Q115,P.S. 115 GLEN OAKS,16.6
30Q112,P.S. 112 DUTCH KILLS,14.2
24Q110,PS 110,15.2
27Q108,P.S. 108 CAPTAIN VINCENT G. FOWLER,17.9
25Q107,P.S. 107 THOMAS A DOOLEY,16.3
27Q106,P.S. 106,10.6
27Q104,P.S. 104 THE BAYS WATER,17.1
28Q101,P.S. 101 SCHOOL IN THE GARDENS,16.7
27Q100,P.S. 100 GLEN MORRIS,15.6
28Q099,P.S. 099 KEW GARDENS,14.9
26Q098,P.S. 098 THE DOUGLASTON SCHOOL,12.5
27Q097,P.S. 097 FOREST PARK,15.9
27Q096,P.S. 096,15
29Q095,P.S. 095 EASTWOOD,16.6
26Q094,P.S. 094 DAVID D. PORTER,15.3
30Q092,P.S. 092 HARRY T. STEWART SR.,13.7
24Q091,P.S. 091 RICHARD ARKWRIGHT,15.1
27Q090,P.S. 090 HORACE MANN,16.1
24Q089,P.S. 089 ELMHURST,16.6
24Q088,P.S. 088 SENECA,15.3
28Q086,P.S. Q086,15.8
30Q085,P.S. 085 JUDGE CHARLES VALLONE,16.7
28Q082,P.S. 082 HAMMOND,15.1
24Q081,P.S. 81Q JEAN PAUL RICHTER,13.7
28Q080,PS 80 THE THURGOOD MARSHALL MAGNET SCHOOL OF MULTIMEDIA AND COMMUNICATION,13.6
25Q079,P.S. 079 FRANCIS LEWIS,19
30Q076,P.S. 076 WILLIAM HALLET,9.8
24Q071,P.S. 071 FOREST,14
30Q070,P.S. 070 QUEENS,16.1
30Q069,P.S. 069 JACKSON HEIGHTS,18.2
24Q068,P.S. 068 CAMBRIDGE,15.3
27Q066,P.S. 066 JACQUELINE KENNEDY ONASSIS,14.9
27Q065,P.S. 65 - THE RAYMOND YORK ELEMENTARY SCHOOL,15.7
27Q064,P.S. 064 JOSEPH P. ADDABBO,15.9
27Q063,P.S. 063 OLD SOUTH,17.1
27Q062,P. S. 62 - CHESTER PARK SCHOOL,17.7
27Q060,P.S. 060 WOODHAVEN,15.8
24Q058,P.S. 58 - THE SCHOOL OF HEROES,16.6
27Q056,P.S. 056 HARRY EICHLER,15.4
28Q055,P.S. 055 MAURE,16.8
28Q054,P.S. 054 HILLSIDE,14.7
29Q052,P.S. 052 QUEENS,15.9
27Q051,P.S. 051,13.8
28Q050,P.S. 050 TALFOURD LAWN ELEMENTARY SCHOOL,16.1
28Q048,P.S. 048 WILLIAM WORDSWORTH,14.2
26Q046,P.S. 046 ALLEY POND,12.1
