"Astoria NYC,,,"(40.7720145, -73.9302672)"
"Kew Gardens, NY",,,"(40.7139415, -73.8307419)"
"Kew Gardens Hills, NY",,,"(40.7144554, -73.8314714)"
"Kingsbridge Heights, NY",,,"(40.872319, -73.9006947)"
"Laurelton, NY",,,"(40.668518, -73.7518433)"
"Lenox Hill-Roosevelt Island, NY",,,"(None, None)"
"Lincoln Square, NY",,,"(40.7725238, -73.9859524)"
"Lindenwood-Howard Beach, NY",,,"(None, None)"
"Longwood, NY",,,"(42.9531152, -78.3694645)"
"Lower East Side, NY",,,"(40.7159357, -73.9868056)"
"Madison brookl, NY",,,"(None, None)"
"Manhattanville, NY",,,"(40.8169444, -73.9558332)"
"Marble Hill-Inwood, NY",,,"(None, None)"
"Mariner's Harbor-Arlington-Port Ivory-Granite, NY",,,"(None, None)"
Maspeth,,,"(40.723158, -73.9126369)"
"Melrose South-Mott Haven North, NY",,,"(None, None)"
"Middle Village, NY",,,"(40.7182602, -73.8786751904277)"
"Midtown-Midtown South, NY",,,"(40.7472224, -73.9672061)"
"Midwood, NY",,,"(40.6188823, -73.9654888)"
"Morningside Heights, NY",,,"(40.81, -73.9624999)"
"Morrisania-Melrose, NY",,,"(40.82471675, -73.8965079165971)"
"Mott Haven-Port Morris, NY",,,"(40.807837, -73.9064248286072)"
"Mount Hope, NY",,,"(42.6308501, -73.7715118)"
"Murray Hill, NY",,,"(40.7481574, -73.9787499)"
"Murray Hill-Kips Bay, NY",,,"(None, None)"
"New Brighton-Silver Lake, NY",,,"(None, None)"
"New Dorp-Midland Beach, NY",,,"(40.566647, -74.1020889)"
"New Springville-Bloomfield-Travis, NY",,,"(40.59786475, -74.1804621232943)"
"North Corona, NY",,,"(40.7469593, -73.8601455)"
"North Riverdale-Fieldston-Riverdale, NY",,,"(40.9063382, -73.8965099)"
"North Side-South Side, NY",,,"(40.7159357, -73.9868056)"
"Norwood, NY",,,"(44.7514452, -74.994364)"
"Oakland Gardens, NY",,,"(40.753991, -73.7659659)"
"Oakwood-Oakwood Beach, NY",,,"(40.5526053, -74.1143086)"
"Ocean Hill, NY",,,"(40.5741262, -73.9738864356285)"
"Ocean Parkway South, NY",,,"(40.6170088, -73.9691116)"
"Old Astoria, NY",,,"(40.7720145, -73.9302672)"
"Old Town-Dongan Hills-South Beach, NY",,,"(None, None)"
"Ozone Park, NY",,,"(40.67677, -73.843746)"
"Parkchester, NY",,,"(40.8389893, -73.8604127)"
"Pelham Bay-Country Club-City Island, NY",,,"(None, None)"
"Pelham Parkway, NY",,,"(40.8575923, -73.85963596359)"
"Pomonok-Flushing Heights-Hillcrest, NY",,,"(None, None)"
"Port Richmond, NY",,,"(40.6331592, -74.1365317)"
"Prospect Heights, NY",,,"(40.6778708, -73.9684724)"
"Prospect Lefferts Gardens-Wingate, NY",,,"(None, None)"
"Queens Village, NY",,,"(40.71768175, -73.7360288931289)"
"Queensboro Hill queens, NY",,,"(40.75573455, -73.9518931501921)"
"Queensbridge-Ravenswood-Long Island City, NY",,,"(None, None)"
"Rego Park, NY",,,"(40.72293705, -73.8622140140234)"
"Richmond Hill, NY",,,"(42.7400674, -75.8901953)"
"Ridgewood, NY",,,"(43.2503348, -78.6472535)"
"Rikers Island, NY",,,"(40.79193175, -73.8834936172795)"
"Rosedale, NY",,,"(40.6658936, -73.7357902)"
"Rossville-Woodrow, NY",,,"(None, None)"
"Clinton, NY",,,"(40.7652778, -73.9938889)"
"Rugby-Remsen Village, NY",,,"(None, None)"
"Schuylerville-Throgs Neck-Edgewater Park, NY",,,"(None, None)"
"Seagate-Coney Island, NY",,,"(None, None)"
"Sheepshead Bay-Gerritsen Beach-Manhattan Beach, NY",,,"(None, None)"
"SoHo-TriBeCa-Civic Center-Little Italy, NY",,,"(None, None)"
"Soundview-Bruckner, NY",,,"(None, None)"
"Soundview-Castle Hill-Clason Point-Harding Pa, NY",,,"(None, None)"
"South Jamaica, NY",,,"(40.6914852, -73.805677)"
"South Ozone Park, NY",,,"(40.6701035, -73.819023)"
"Springfield Gardens North, NY",,,"(40.678159, -73.7465209)"
"Springfield Gardens South-Brookville, NY",,,"(None, None)"
"Spuyten Duyvil-Kingsbridge, NY",,,"(None, None)"
"St. Albans, NY",,,"(40.6984364, -73.760688)"
"Stapleton-Rosebank, NYC",,,"(None, None)"
"Starrett City, NYC",,,"(40.64785215, -73.8795559471343)"
"Steinway, NYC",,,"(40.7745459, -73.9037476)"
"Stuyvesant Heights nyc, NYC",,,"(40.6821123, -73.9347884534562)"
"Stuyvesant Town-Cooper Village, NYC",,,"(None, None)"
"Sunset Park East, NYC",,,"(40.644337, -74.0075319)"
"Sunset Park West, NYC",,,"(None, None)"
"Todt Hill-Emerson Hill-Heartland Village-Ligh, NY",,,"(None, None)"
"Turtle Bay-East Midtown, NY",,,"(None, None)"
"University Heights-Morris Heights, NYC",,,"(40.8443696, -73.9228967)"
"Upper East Side-Carnegie Hill, NYC",,,"(None, None)"
"Upper West Side, NY",,,"(40.7870455, -73.9754162)"
"Van Cortlandt Village, NYC",,,"(None, None)"
"Van Nest-Morris Park-Westchester Square, NYC",,,"(None, None)"
"Washington Heights North, NYC",,,"(40.8501001, -73.9354148)"
"Washington Heights South, NYC",,,"(40.8501001, -73.9354148)"
"West Brighton, NYC",,,"(40.5775, -73.9724999)"
"West Concourse, NYC",,,"(40.8742173, -73.8904094308222)"
"West Farms-Bronx River, NYC",,,"(None, None)"
"West New Brighton-New Brighton-St. George, NYC",,,"(None, None)"
"West Village, NYC",,,"(40.6523377, -73.778546)"
"Westchester-Unionport, NYC",,,"(40.8408867, -73.8467493)"
"Westerleigh, NYC",,,"(40.621215, -74.1318093)"
"Whitestone, NYC",,,"(40.7945457, -73.8184673)"
"Williamsbridge-Olinville, NYC",,,"(None, None)"
"Williamsburg, NYC",,,"(40.714622, -73.9534499)"
"Windsor Terrace, NYC",,,"(40.6557273, -73.9767081)"
"Woodhaven, NYC",,,"(40.6892698, -73.857913)"
"Woodlawn-Wakefield, NYC",,,"(None, None)"
"Woodside, NYC",,,"(40.7453798, -73.9054144)"
Yorkville NYC,,,"(40.7789173, -73.9541666)"
"hell's kitchen, NYC",,,"(40.7573238, -73.9954169)"
